tree_dbh_cm,tree_dbh_inch,tree_basal_area_sqft,basal_area_per_acre_sqft,Transect,Plot,Species_common name,Species,Tree_tag,Latitude ,Longitude,elevation_m_NAVD88,elevation_m_MHW,elevation_m_MSL,ns1:ele,ns1:time2,notes,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
19.1,7.519689100000001,0.3084003795722332,6.168007591444664,1,1,Black oak,Quercus velutina,15,40.867232,-72.437711,1.03,0.682,1.137,7.847112,2024-11-18T16:19:48Z,,,,,,,,,
21.2,8.3464612,0.3799442630271771,7.5988852605435415,1,1,White oak,Quercus alba ,4,40.867213,-72.437724,1.03,0.682,1.137,7.212625,2024-11-18T16:09:16Z,,,,,,,,,
21.9,8.6220519,0.4054491544821654,8.108983089643308,1,1,White oak,Quercus alba ,6,40.867226,-72.437748,1.09,0.742,1.197,3.741607,2024-11-18T16:08:50Z,,,,,,,,,
29.1,11.456699100000002,0.7158699745773492,14.317399491546984,1,1,White oak,Quercus alba ,11,40.867271,-72.437717,1.18,0.832,1.287,5.980973,2024-11-18T16:15:00Z,,,, ,,,,,
5.8,2.2834658,0.028438334389983617,0.5687666877996723,1,2,Sasafrass,Sasafrass albidum,36,40.867491,-72.437926,1.24,0.892,1.347,13.277575,2024-11-18T17:37:39Z,,,,,,,,,
6.1,2.4015761,0.031456314585353466,0.6291262917070694,1,2,White oak,Quercus alba ,34,40.867504,-72.437939,1.26,0.912,1.367,13.090961,2024-11-18T17:34:12Z,,,,,,,,,
6.3,2.4803163,0.0335528386426412,0.671056772852824,1,2,Black cherry,Prunus serotina,30,40.86752,-72.437888,1.36,1.012,1.467,13.706786,2024-11-18T17:31:11Z,,,,,,,,,
7.5,2.9527575,0.04755220896065929,0.9510441792131857,1,2,Black oak,Quercus velutina,42,40.867495,-72.437897,1.3,0.952,1.407,13.146945,2024-11-18T17:46:14Z,,,,,,,,,
9.3,3.6614193000000004,0.07311627649790974,1.4623255299581948,1,2,Scarlet oak,Quercus coccinea,35,40.867504,-72.437933,1.22,0.872,1.327,13.258913,2024-11-18T17:35:31Z,,,,,,,,,
9.9,3.8976399,0.08285496889305274,1.657099377861055,1,2,Black oak,Quercus velutina,39,40.867513,-72.437896,1.28,0.932,1.387,13.324228,2024-11-18T17:43:19Z,,,,,,,,,
10.8,4.2519708000000005,0.09860426050082312,1.9720852100164623,1,2,Black oak,Quercus velutina,41,40.867517,-72.437907,1.24,0.892,1.347,14.471903,2024-11-18T17:45:01Z,,,,,,lat,long,,
13.0,5.118113,0.14286797003291413,2.8573594006582823,1,2,White oak,Quercus alba ,37,40.867489,-72.437903,1.3,0.952,1.407,14.070683,2024-11-18T17:39:19Z,,,,Princess Tree Location:,2024-11-18T15:56:45Z,40.867519,-72.437979,14.378596,2024-11-18T17:59:48Z
13.1,5.1574831,0.14507439252868873,2.9014878505737745,1,2,White oak,Quercus alba ,40,40.86751,-72.437924,1.24,0.892,1.347,16.394026,2024-11-18T17:44:30Z,,,,,,,,,
13.2,5.1968532,0.14729772247653816,2.9459544495307632,1,2,White oak,Quercus alba ,38,40.867507,-72.437886,1.34,0.992,1.447,14.723831,2024-11-18T17:42:12Z,,,,,,,,,
14.9,5.8661449,0.18768117175743942,3.7536234351487883,1,2,White oak,Quercus alba ,44,40.867517,-72.437907,1.24,0.892,1.347,3.617188,2024-11-18T17:51:01Z,,,,,,,,,
18.7,7.3622087,0.29561834580360796,5.912366916072159,1,2,Black oak,Quercus velutina,47,40.867448,-72.43792,1.4,1.052,1.507,16.235403,2024-11-18T17:54:58Z,,,,,,,,,
19.5,7.677169500000001,0.3214529325740568,6.429058651481137,1,2,Black oak,Quercus velutina,45,40.867449,-72.43786,1.28,0.932,1.387,13.697455,2024-11-18T17:52:05Z,,,,,,,,,
20.6,8.110240600000001,0.3587423181252512,7.174846362505024,1,2,White oak,Quercus alba ,29,40.867546,-72.437879,1.26,0.912,1.367,12.288521,2024-11-18T17:25:18Z,,,,,,,,,
21.5,8.4645715,0.39077348608115114,7.815469721623023,1,2,White oak,Quercus alba ,43,40.867517,-72.437907,1.24,0.892,1.347,3.617188,2024-11-18T17:50:09Z,,,,,,,,,
21.7,8.5433117,0.3980775053775085,7.9615501075501705,1,2,Black oak,Quercus velutina,46,40.867459,-72.437915,1.36,1.012,1.467,14.901114,2024-11-18T17:53:48Z,,,,,,,,,
21.9,8.6220519,0.4054491544821654,8.108983089643308,1,2,Scarlet oak,Quercus coccinea,32,40.86752,-72.437926,1.26,0.912,1.367,13.445527,2024-11-18T17:32:35Z,,,,,,,,,
22.4,8.8189024,0.42417415765511834,8.483483153102366,1,2,Post oak,Quercus stellata,31,40.867516,-72.437909,1.24,0.892,1.347,12.316513,2024-11-18T17:32:02Z,,,,,,,,,
23.0,9.055123,0.4472021073811336,8.944042147622671,1,2,Sasafrass,Sasafrass albidum,33,40.867534,-72.437945,1.38,1.032,1.487,13.846746,2024-11-18T17:33:03Z,,,,,,,,,
7.7,3.0314977,0.05012214167604425,1.002442833520885,1,3,Sasafrass,Sasafrass albidum,23,40.867777,-72.438105,1.33,0.982,1.437,8.696205,2024-11-18T17:01:45Z,,,,,,,,,
10.0,3.9370100000000003,0.08453726037450542,1.6907452074901084,1,3,Sasafrass,Sasafrass albidum,21,40.867788,-72.438109,1.33,0.982,1.437,8.584236,2024-11-18T16:59:24Z,,,,,,,,,
11.4,4.488191400000001,0.10986462358270724,2.1972924716541447,1,3,Sasafrass,Sasafrass albidum,24,40.867769,-72.438145,1.39,1.042,1.497,8.173686,2024-11-18T17:04:16Z,,,,,,,,,
13.0,5.118113,0.14286797003291413,2.8573594006582823,1,3,Sasafrass,Sasafrass albidum,25,40.867755,-72.438118,1.33,0.982,1.437,9.545298,2024-11-18T17:04:53Z,,,,,,,,,
16.0,6.299216,0.21641538655873382,4.328307731174677,1,3,White oak,Quercus alba ,19,40.867804,-72.43818,1.39,1.042,1.497,9.209393,2024-11-18T16:56:56Z,,,,,,,,,
16.3,6.417326300000001,0.22460704708902346,4.49214094178047,1,3,White oak,Quercus alba ,20,40.867795,-72.43817,1.39,1.042,1.497,8.304316,2024-11-18T16:58:13Z,,,,,,,,,
16.3,6.417326300000001,0.22460704708902346,4.49214094178047,1,3,White oak,Quercus alba ,26,40.867738,-72.438114,1.39,1.042,1.497,8.873487,2024-11-18T17:06:07Z,,,,,,,,,
16.9,6.6535469,0.24144686935562487,4.828937387112497,1,3,Pignut hickory,Carya glabra,17,40.867672,-72.438226,1.7,1.352,1.807,9.274708,2024-11-18T16:50:21Z,,,,,,,,,
23.8,9.370083800000002,0.4788528576653485,9.57705715330697,1,3,Scarlet oak,Quercus coccinea,28,40.867736,-72.438216,1.53,1.182,1.637,10.78628,2024-11-18T17:10:16Z,,,,,,,,,
25.3,9.960635300000002,0.5411145499311717,10.822290998623433,1,3,White oak,Quercus alba ,22,40.867782,-72.438114,1.33,0.982,1.437,8.285654,2024-11-18T17:00:05Z,,,,,,,,,
25.5,10.0393755,0.5497035355852213,10.994070711704428,1,3,Pignut hickory,Carya glabra,27,40.867691,-72.43817,1.58,1.232,1.687,7.893765,2024-11-18T17:07:51Z,,,,,,,,,
35.4,13.9370154,1.0593871321091517,21.187742642183032,1,3,Scarlet oak,Quercus coccinea,18,40.867717,-72.438295,1.65,1.302,1.757,9.312031,2024-11-18T16:52:48Z,,,,,,,,,
